WGMS_ID,NAME,LATITUDE,LONGITUDE,POLITICAL_UNIT,AREA,LOWER_BOUND,UPPER_BOUND
1418,,53.150002,-119.57,CA,13.0,1680.0,3960.0
71,,59.779999,-137.800003,CA,4.82,770.0,1910.0
8,,52.14,-117.19,CA,32.80666566666667,1776.0,3534.0
1420,,52.43,-118.580002,CA,16.24,1550.0,2870.0
44,,49.886002,-122.980003,CA,1.88,1530.0,2105.0
68,,53.169998,-119.480003,CA,5.8,1950.0,2900.0
1393,,51.919998,-117.629997,CA,15.6,1820.0,3510.0
19,,49.9151,-122.953,CA,4.74,1486.0,2500.0
18,,49.93,-122.599998,CA,1.64,1645.0,2180.0
13,,50.5,-123.970001,CA,1.01,1640.0,2410.0
59,,50.869999,-123.580002,CA,25.35,1520.0,2750.0
72,,59.68,-137.770004,CA,25.5,670.0,1980.0
60,,51.02,-123.779999,CA,21.35,1790.0,3020.0
15,,50.43,-123.43,CA,4.57,800.0,2620.0
